DATE,USEPUINDXD
2014-04-11,24.93000
2014-04-12,66.57000
2014-04-13,91.21000
2014-04-14,160.58000
2014-04-15,46.80000
2014-04-16,44.05000
2014-04-17,25.15000
2014-04-18,51.83000
2014-04-19,51.59000
2014-04-20,83.81000
2014-04-21,61.87000
2014-04-22,51.29000
2014-04-23,58.66000
2014-04-24,51.78000
2014-04-25,62.12000
2014-04-26,80.87000
2014-04-27,68.09000
2014-04-28,86.12000
2014-04-29,64.01000
2014-04-30,35.13000
2014-05-01,70.50000
2014-05-02,52.59000
2014-05-03,41.58000
2014-05-04,187.89000
2014-05-05,82.21000
2014-05-06,98.03000
2014-05-07,52.67000
2014-05-08,125.36000
2014-05-09,55.25000
2014-05-10,57.11000
2014-05-11,54.05000
2014-05-12,77.42000
2014-05-13,87.93000
2014-05-14,89.46000
2014-05-15,64.81000
2014-05-16,83.17000
2014-05-17,18.35000
2014-05-18,45.83000
2014-05-19,53.82000
2014-05-20,69.59000
2014-05-21,64.03000
2014-05-22,33.53000
2014-05-23,80.12000
2014-05-24,43.14000
2014-05-25,61.87000
2014-05-26,32.79000
2014-05-27,50.23000
2014-05-28,123.09000
2014-05-29,35.24000
2014-05-30,66.44000
2014-05-31,62.38000
2014-06-01,83.16000
2014-06-02,75.40000
2014-06-03,225.30000
2014-06-04,46.18000
2014-06-05,49.48000
2014-06-06,40.75000
2014-06-07,79.59000
2014-06-08,178.63000
2014-06-09,66.76000
2014-06-10,52.35000
2014-06-11,125.44000
2014-06-12,100.98000
2014-06-13,47.20000
2014-06-14,57.97000
2014-06-15,48.58000
2014-06-16,55.79000
2014-06-17,20.72000
2014-06-18,59.16000
2014-06-19,81.39000
2014-06-20,57.19000
2014-06-21,80.29000
2014-06-22,48.23000
2014-06-23,107.54000
2014-06-24,58.69000
2014-06-25,54.36000
2014-06-26,22.32000
2014-06-27,24.48000
2014-06-28,13.92000
2014-06-29,61.06000
2014-06-30,43.97000
2014-07-01,94.53000
2014-07-02,85.01000
2014-07-03,41.51000
2014-07-04,52.44000
2014-07-05,79.35000
2014-07-06,124.77000
2014-07-07,61.40000
2014-07-08,28.93000
2014-07-09,49.91000
2014-07-10,48.39000
2014-07-11,50.23000
2014-07-12,75.13000
2014-07-13,134.75000
2014-07-14,124.54000
2014-07-15,116.32000
2014-07-16,131.66000
2014-07-17,72.31000
2014-07-18,77.84000
2014-07-19,88.06000
2014-07-20,44.15000
2014-07-21,67.14000
2014-07-22,56.64000
2014-07-23,49.67000
2014-07-24,36.53000
2014-07-25,34.26000
2014-07-26,56.98000
2014-07-27,62.97000
2014-07-28,49.75000
2014-07-29,44.45000
2014-07-30,117.01000
2014-07-31,87.58000
2014-08-01,53.10000
2014-08-02,92.27000
2014-08-03,91.65000
2014-08-04,131.99000
2014-08-05,80.24000
2014-08-06,32.50000
2014-08-07,41.62000
2014-08-08,61.58000
2014-08-09,34.97000
2014-08-10,36.22000
2014-08-11,94.95000
2014-08-12,18.35000
2014-08-13,18.04000
2014-08-14,29.12000
2014-08-15,74.06000
2014-08-16,71.63000
2014-08-17,51.56000
2014-08-18,34.34000
2014-08-19,40.12000
2014-08-20,23.74000
2014-08-21,24.43000
2014-08-22,65.61000
2014-08-23,143.64000
2014-08-24,52.31000
2014-08-25,54.94000
2014-08-26,32.55000
2014-08-27,40.32000
2014-08-28,44.61000
2014-08-29,30.07000
2014-08-30,27.35000
2014-08-31,31.79000
2014-09-01,102.15000
2014-09-02,79.82000
2014-09-03,38.15000
2014-09-04,29.58000
2014-09-05,32.64000
2014-09-06,42.79000
2014-09-07,75.91000
2014-09-08,23.52000
2014-09-09,65.54000
2014-09-10,66.45000
2014-09-11,43.16000
2014-09-12,49.62000
2014-09-13,54.57000
2014-09-14,63.50000
2014-09-15,132.42000
2014-09-16,34.58000
2014-09-17,40.90000
2014-09-18,26.32000
2014-09-19,31.65000
2014-09-20,83.75000
2014-09-21,66.46000
2014-09-22,124.77000
2014-09-23,102.33000
2014-09-24,46.11000
2014-09-25,40.69000
2014-09-26,49.29000
2014-09-27,45.23000
2014-09-28,64.31000
2014-09-29,41.79000
2014-09-30,41.03000
2014-10-01,58.82000
2014-10-02,30.16000
2014-10-03,103.26000
2014-10-04,54.37000
2014-10-05,84.19000
2014-10-06,135.43000
2014-10-07,89.80000
2014-10-08,43.96000
2014-10-09,53.73000
2014-10-10,49.06000
2014-10-11,70.52000
2014-10-12,70.66000
2014-10-13,42.04000
2014-10-14,62.32000
2014-10-15,68.64000
2014-10-16,86.24000
2014-10-17,49.35000
2014-10-18,66.44000
2014-10-19,77.54000
2014-10-20,45.57000
2014-10-21,61.02000
2014-10-22,69.25000
2014-10-23,45.24000
2014-10-24,43.41000
2014-10-25,45.23000
2014-10-26,109.96000
2014-10-27,68.48000
2014-10-28,72.16000
2014-10-29,57.53000
2014-10-30,37.38000
2014-10-31,103.08000
