DATE,WLEMUINDXD
2014-04-11,7.25000
2014-04-12,10.89000
2014-04-13,28.60000
2014-04-14,11.68000
2014-04-15,8.75000
2014-04-16,7.18000
2014-04-17,17.88000
2014-04-18,7.53000
2014-04-19,11.21000
2014-04-20,18.95000
2014-04-21,12.38000
2014-04-22,8.90000
2014-04-23,6.96000
2014-04-24,5.84000
2014-04-25,7.35000
2014-04-26,11.05000
2014-04-27,9.29000
2014-04-28,23.58000
2014-04-29,35.13000
2014-04-30,14.01000
2014-05-01,5.91000
2014-05-02,71.99000
2014-05-03,10.91000
2014-05-04,18.97000
2014-05-05,11.99000
2014-05-06,77.14000
2014-05-07,6.92000
2014-05-08,5.98000
2014-05-09,14.49000
2014-05-10,10.70000
2014-05-11,8.85000
2014-05-12,11.94000
2014-05-13,8.87000
2014-05-14,7.11000
2014-05-15,12.14000
2014-05-16,8.72000
2014-05-17,107.44000
2014-05-18,27.71000
2014-05-19,11.74000
2014-05-20,8.67000
2014-05-21,6.98000
2014-05-22,11.71000
2014-05-23,14.98000
2014-05-24,11.29000
2014-05-25,9.52000
2014-05-26,17.19000
2014-05-27,10.08000
2014-05-28,21.91000
2014-05-29,12.28000
2014-05-30,45.38000
2014-05-31,23.26000
2014-06-01,9.79000
2014-06-02,12.17000
2014-06-03,8.83000
2014-06-04,7.13000
2014-06-05,6.19000
2014-06-06,22.93000
2014-06-07,11.61000
2014-06-08,9.57000
2014-06-09,12.47000
2014-06-10,9.13000
2014-06-11,7.28000
2014-06-12,6.15000
2014-06-13,15.46000
2014-06-14,11.58000
2014-06-15,9.75000
2014-06-16,12.16000
2014-06-17,9.04000
2014-06-18,14.72000
2014-06-19,68.83000
2014-06-20,15.59000
2014-06-21,46.33000
2014-06-22,39.70000
2014-06-23,12.55000
2014-06-24,18.66000
2014-06-25,7.72000
2014-06-26,6.68000
2014-06-27,8.24000
2014-06-28,12.08000
2014-06-29,21.36000
2014-06-30,13.15000
2014-07-01,10.28000
2014-07-02,8.43000
2014-07-03,34.65000
2014-07-04,11.47000
2014-07-05,14.88000
2014-07-06,79.07000
2014-07-07,13.43000
2014-07-08,9.58000
2014-07-09,7.79000
2014-07-10,6.68000
2014-07-11,41.16000
2014-07-12,13.13000
2014-07-13,21.43000
2014-07-14,37.73000
2014-07-15,9.74000
2014-07-16,15.69000
2014-07-17,6.37000
2014-07-18,32.77000
2014-07-19,115.38000
2014-07-20,10.50000
2014-07-21,12.58000
2014-07-22,9.32000
2014-07-23,7.68000
2014-07-24,6.42000
2014-07-25,8.21000
2014-07-26,74.69000
2014-07-27,51.76000
2014-07-28,12.99000
2014-07-29,19.49000
2014-07-30,7.88000
2014-07-31,32.83000
2014-08-01,16.36000
2014-08-02,88.61000
2014-08-03,62.77000
2014-08-04,25.63000
2014-08-05,9.58000
2014-08-06,7.75000
2014-08-07,7.28000
2014-08-08,14.68000
2014-08-09,13.06000
2014-08-10,10.54000
2014-08-11,13.07000
2014-08-12,9.61000
2014-08-13,7.88000
2014-08-14,6.35000
2014-08-15,8.07000
2014-08-16,24.94000
2014-08-17,10.37000
2014-08-18,12.82000
2014-08-19,9.54000
2014-08-20,7.78000
2014-08-21,6.40000
2014-08-22,7.80000
2014-08-23,109.03000
2014-08-24,29.27000
2014-08-25,26.10000
2014-08-26,9.46000
2014-08-27,7.53000
2014-08-28,6.47000
2014-08-29,62.76000
2014-08-30,11.78000
2014-08-31,10.34000
2014-09-01,17.75000
2014-09-02,10.42000
2014-09-03,7.70000
2014-09-04,6.47000
2014-09-05,7.79000
2014-09-06,11.23000
2014-09-07,29.71000
2014-09-08,12.31000
2014-09-09,9.02000
2014-09-10,7.25000
2014-09-11,12.54000
2014-09-12,7.64000
2014-09-13,10.97000
2014-09-14,9.76000
2014-09-15,12.35000
2014-09-16,9.04000
2014-09-17,28.42000
2014-09-18,6.25000
2014-09-19,15.03000
2014-09-20,98.08000
2014-09-21,19.25000
2014-09-22,12.05000
2014-09-23,79.78000
2014-09-24,60.04000
2014-09-25,6.23000
2014-09-26,7.56000
2014-09-27,10.71000
2014-09-28,9.85000
2014-09-29,12.10000
2014-09-30,44.64000
2014-10-01,21.84000
2014-10-02,19.45000
2014-10-03,7.53000
2014-10-04,10.98000
2014-10-05,9.62000
2014-10-06,11.88000
2014-10-07,54.57000
2014-10-08,7.23000
2014-10-09,25.72000
2014-10-10,113.77000
2014-10-11,32.98000
2014-10-12,29.31000
2014-10-13,24.56000
2014-10-14,9.09000
2014-10-15,14.47000
2014-10-16,45.37000
2014-10-17,83.92000
2014-10-18,21.84000
2014-10-19,9.69000
2014-10-20,11.96000
2014-10-21,26.71000
2014-10-22,28.07000
2014-10-23,6.60000
2014-10-24,15.19000
